[04:38:43] [INIT] KubeJS 2001.6.5-build.16; MC 2001 forge
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/generic/dynamic_leap.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/generic/steal_item_in_hands.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/generic/teleport.js in 0.004 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/generic/teleport_entangeled_single_particle.js in 0.008 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/generic/durability_drain.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/generic/teleport_entangeled.js in 0.002 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/generic/handitem_steal_tag.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/generic/dimension_rift_teleport.js in 0.006 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/conditions/weapon_in_hand.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/conditions/gold_in_hand.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/conditions/item_tag_in_slot.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/conditions/food_level.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/conditions/attribute_value.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/conditions/open_sky.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/get_weakness_1.js in 0.003 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/get_weakness_2.js in 0.002 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/serums/potentia_v.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/serums/debilis_b.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/serums/potentia_omicron.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/serums/potentia_prototype.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/serums/potentia_complete.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/serums/potentia_x.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/serums/potentia_gamma.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/serums/debilis_a.js in 0.001 s
